Date,Building,Stream,Substream,Volume,Weight,Notes
2015-04-30,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,9.0,"Clam shells,To-go cups, to go plates"
2015-04-30,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,43.0,student food waste
2015-04-30,Benson Center,Recycling in Landfill,Plastic Film,1.0,16.9,bread wrapers
2015-04-30,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,42.6,
2015-04-30,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,13.8,
2015-04-30,Benson Center,Compost in Landfill,Misc. Meal Waste,0.5,48.9,
2015-04-30,Benson Center,Compost in Landfill,Misc. Meal Waste,0.25,23.5,
2015-04-30,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,19.4,
2015-04-30,Benson Center,Recycling in Landfill,Plastic Film,1.0,15.4,shrimp bag
2015-04-30,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,13.7,
2015-04-30,Benson Center,Recycling in Landfill,metal,0.33,5.0,"clam juice cans, pan spray"
2015-04-30,Benson Center,Recycling in Landfill,Plastic 1-7,0.5,7.0,soap and syrup not empty
2015-04-30,Benson Center,Recycling in Landfill,terracycle,0.1,0.4,granola bar wrappers
2015-04-30,Benson Center,Recycling in Landfill,paper,1.0,11.9,recipts
2015-04-30,Benson Center,Landfill,styrofoam,0.1,0.5,
2015-04-30,Benson Center,Compost in Landfill,paper towels,0.5,7.8,
2015-04-30,Benson Center,Recycling in Landfill,glass,0.1,1.8,
2015-04-30,Benson Center,Landfill,Other Landfill,1.0,15.5,napkin packaging (has plastic liner)
2015-04-30,Benson Center,Recycling in Landfill,aseptic containers,0.5,1.7,co-co water
2015-04-30,Benson Center,Recycling in Landfill,cardboard,1.0,5.0,boxes
2015-04-30,Benson Center,Reusables in Landfill,reusables,0.1,2.5,"forks, twistties/rubberbands"
2015-11-16,Benson Center,Recycling in Landfill,cardboard,1.0,5.9,"boxes, egg cartons"
2015-11-16,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,9.9,flowers
2015-11-16,Benson Center,Compost,paper towels,0.33,3.3,paper towels
2015-11-16,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,33.1,"bread ends, potato peels, eggshells/bacon"
2015-11-16,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,16.2,"coke cups, paper wrappers, clamshells and plates"
2015-11-16,Benson Center,Recycling in Landfill,terracycle,0.03,0.1,"granola bar wrappers, markers"
2015-11-16,Benson Center,Reusables in Landfill,reusables,0.06,0.1,"cloth rags, twist ties"
2015-11-16,Benson Center,Recycling in Landfill,Plastic 1-7,0.8,7.1,"black silverware, juice containers, mayo containers"
2015-11-16,Benson Center,Recycling in Landfill,paper,0.75,3.6,"oat containers, salt containers, red bull boxes"
2015-11-16,Benson Center,Recycling in Landfill,aseptic containers,0.8,3.8,"milk containers, liquid egg containers"
2015-11-16,Benson Center,Landfill,Other Landfill,0.14,0.2,*coffee cups were sorted separately
2015-11-16,Benson Center,Landfill,Other Landfill,0.75,12.9,
2015-11-16,Benson Center,Recycling in Landfill,metal,0.33,2.2,"tin foil, large cans (olives/manderines), soda cans"
2015-11-16,Benson Center,Recycling in Landfill,cardboard,0.33,3.1,boxes
2015-11-16,Benson Center,Recycling in Landfill,glass,0.03,0.4,bottles
2015-11-16,Benson Center,Recycling in Landfill,Plastic Film,1.0,11.8,"syran wrap,bags/food packaging"
2016-02-09,Benson Center,Recycling in Landfill,Plastic Film,1.0,8.6,Seran Wrap
2016-02-09,Benson Center,Recycling in Landfill,cardboard,1.25,6.1,"Egg Cartons, boxes"
2016-02-09,Benson Center,Recycling in Landfill,paper,1.0,8.6,"half&half boxes, swiss miss boxes, milk cartons"
2016-02-09,Benson Center,Compost in Landfill,Misc. Meal Waste,0.25,33.3,"egg shells, avocado, sandwhich toppongs, loaf of bread"
2016-02-09,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,10.7,"salad to-go containers, clamshells, coke cups"
2016-02-09,Benson Center,Recycling in Landfill,Plastic Film,1.0,7.7,bread bags
2016-02-09,Benson Center,Recycling in Landfill,Plastic 1-7,1.25,13.2,"large containers, rice vinegal, canola oil"
2016-02-09,Benson Center,Recycling in Landfill,cardboard,1.0,7.4,"apple trays, boxes, egg cartons"
2016-02-09,Benson Center,Recycling in Landfill,Plastic 1-7,1.0,6.4,"Lime Away, plastic utensils, canola oil "
2016-02-09,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,44.8,
2016-02-09,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,10.9,"clamshells, salad containers, coke cups, water glasses"
2016-02-09,Benson Center,Recycling in Landfill,paper,1.0,4.4,"milk cartons, receipts, liquid eggs"
2016-02-09,Benson Center,Recycling in Landfill,metal,0.75,8.6,"pinto beans, olive cans, aluminum foil"
2016-02-09,Benson Center,Recycling in Landfill,glass,0.25,5.8,"tobasco bottle, saucer, broken plate"
2016-02-09,Benson Center,Recycling in Landfill,Const/Demo Waste,0.17,1.1,sticks
2016-02-09,Benson Center,Reusables in Landfill,reusables,0.17,5.1,"forks, apron, clothes/rags, unused seran wrap roll "
2016-02-09,Benson Center,Recycling in Landfill,Plastic Film,0.75,11.1,
2016-02-09,Benson Center,Recycling in Landfill,terracycle,0.03,0.01,energy bar wrappers
2016-02-09,Benson Center,Landfill,Other Landfill,0.8,18.3,
2016-02-09,Benson Center,Recycling in Landfill,Plastic 1-7,0.04,1.2,"coffee cups, lids, utensils"
2016-02-09,Benson Center,Recycling in Landfill,paper towels,0.5,6.8,
2016-02-09,Benson Center,Recycling in Landfill,cardboard,0.75,5.2,"bakery containers, fruit holder, boxes "
2016-04-27,Benson Center,Reusables in Landfill,reusables,0.13,2.0,"hangers, Benson fork, apron, syran wrap roll"
2016-04-27,Benson Center,Recycling in Landfill,metal,0.33,2.3,"soda cans, evets trays, green chile cans"
2016-04-27,Benson Center,Recycling in Landfill,Plastic 1-7,0.5,3.1,"orange force bottle, syrup containers"
2016-04-27,Benson Center,Landfill,Other Landfill,0.75,6.4,"gloves, napking packaging"
2016-04-27,Benson Center,Compost in Landfill,paper towels,0.25,2.4,
2016-04-27,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,13.2,"clamshells, clear cups, salad containers"
2016-04-27,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,41.8,
2016-04-27,Benson Center,Recycling in Landfill,paper,0.33,1.2,"recipts, glove boxes"
2016-04-27,Benson Center,Recycling in Landfill,aseptic containers,0.33,0.8,liquid egg containers
2016-04-27,Benson Center,Recycling in Landfill,cardboard,0.5,1.1,drink cases
2016-04-27,Benson Center,Recycling in Landfill,glass,0.03,0.1,soy sauce jars
2016-04-27,Benson Center,Recycling in Landfill,Plastic Film,1.0,8.5,bags
2017-04-27,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,12.5,"Bacon paper, coke cups, plates"
2017-04-27,Benson Center,Recycling in Landfill,paper,1.0,5.1,paperboard (food boxes)
2017-04-27,Benson Center,Recycling in Landfill,Plastic Film,1.0,16.7,bulk food bags
2017-04-27,Benson Center,Recycling in Landfill,Plastic 1-7,0.75,5.0,bulk food containers
2017-04-27,Benson Center,Compost in Landfill,Misc. Meal Waste,0.33,29.1,"food scraps,tortilla chips"
2017-04-27,Benson Center,Compost in Landfill,Compostable Food Containers,1.0,7.6,"sandwich paper, plates, napkins"
2017-04-27,Benson Center,Recycling in Landfill,Plastic 1-7,1.0,2.7,"milk cartons, bulk containers"
2017-04-27,Benson Center,Compost in Landfill,Misc. Meal Waste,0.25,23.6,"coffee, food scraps"
2017-04-27,Benson Center,Recycling in Landfill,cardboard,1.5,9.0,produce (waxy) boxes
2017-04-27,Benson Center,Landfill,Other Landfill,1.0,16.4,gloves
2017-04-27,Benson Center,Compost in Landfill,Misc. Meal Waste,0.5,42.1,
